,,,,,,,,,,,,,,
Emblem &,,,,,,,,,,,,,,
World,Bond Ring,Rank,HP+,Str+,Mag+,Dex+,Spd+,Lck+,Def+,Res+,Bld+,Skill,Skill Description,Ring Description
,Hector,A,,1,,1,,,1,,,---,---,"As children, he and Eliwood swore an undying oath of friendship."
,Hector,S,,2,,1,,,1,,,---,---,Appears in The Binding Blade and The Blazing Blade.
,Florina,C,,,,,1,,,,,---,---,Hero from beyond Elyos who trained to be a pegasus knight of Ilia.
,Florina,B,,,,1,1,,,,,---,---,"A quiet, compassionate young woman and animal lover."
,Florina,A,,,,1,1,1,,,,---,---,"Though shy and easily scared, she supported Lyn on her journey."
,Florina,S,,,,1,2,1,,,,---,---,Appears in The Blazing Blade.
,Dorcas,C,2,,,,,,,,,---,---,Hero from beyond Elyos and warrior from a remote village.
,Dorcas,B,2,1,,,,,,,,---,---,He hired himself out to bandits to pay for his wife's medical treatment.
,Dorcas,A,2,1,,1,,,,,,---,---,"Reserved and devoted to his family, he joined Lyn when she rescued him."
,Dorcas,S,5,1,,1,,,,,,---,---,Appears in The Blazing Blade.
,Serra,C,,,,,,1,,,,---,---,Hero from beyond Elyos who served Ostia as a cleric.
,Serra,B,,,,,,1,,1,,---,---,She shrewdly joined Lyn in order to gain a powerful ally.
,Serra,A,,,,,1,1,,1,,---,---,She is very likable despite her habit of pursuing her own agenda.
,Serra,S,,,,,1,2,,1,,---,---,Appears in The Blazing Blade.
,Matthew,C,,,,,1,,,,,---,---,Hero from beyond Elyos who served House Ostia as a spy.
,Matthew,B,,,,,1,1,,,,---,---,Forms connections easily with his cheerful and open demeanor.
,Matthew,A,2,,,,1,1,,,,---,---,"Though he seems scatterbrained, he always sees his missions through."
,Matthew,S,2,,,,2,1,,,,---,---,Appears in The Blazing Blade.
,Rebecca,C,,,,,1,,,,,---,---,Hero from beyond Elyos and daughter of a Pheraen village leader.
,Rebecca,B,,,,1,1,,,,,---,---,She allied herself with Eliwood to repay him for saving her village.
,Rebecca,A,,,,1,1,1,,,,---,---,A cheerful and gentle archer who mastered the bow by hunting.
,Rebecca,S,,,,1,2,1,,,,---,---,Appears in The Blazing Blade.
,Ninian,C,,,,,1,,,,,---,---,Hero from beyond Elyos and a traveling dancer.
,Ninian,B,,,,,1,1,,,,---,---,Befriended Eliwood and Lyn when they saved her from bandits.
,Ninian,A,,,,,1,1,,1,,---,---,A fragile girl whose hidden secret could shake the world.
,Ninian,S,,,,,2,1,,1,,---,---,Appears in The Blazing Blade.
,Nino,C,,,,,1,,,,,---,---,Hero from beyond Elyos and a kind-hearted mage-in-training.
,Nino,B,,,,,1,,,1,,---,---,Neglected adopted daughter of the head of the Black Fang assassins.
,Nino,A,,,1,,1,,,1,,---,---,She thinks of the members of her organization as if they were family.
,Nino,S,,,1,,2,,,1,,Giga Excalibur,"If unit initiates combat with Excalibur, deals +20% damage.",Appears in The Blazing Blade.
,Jaffar,C,,1,,,,,,,,---,---,Hero from beyond Elyos and a Black Fang assassin.
,Jaffar,B,,1,,1,,,,,,---,---,"Known as the ""Angel of Death,"" he is one of the elite Four Fangs."
,Jaffar,A,,1,,1,1,,,,,---,---,Spending time with Nino drew him from his emotionless shell.
,Jaffar,S,,2,,1,1,,,,,---,---,Appears in The Blazing Blade.
Ike,Mist,C,,,,,1,,,,,---,---,Hero from beyond Elyos and a staff wielder in the Greil Mercenaries.
World of the,Mist,B,,,,,1,,,1,,---,---,She is Ike's pure-hearted and compassionate younger sister.
Radiant Hero,Mist,A,,,,,1,1,,1,,---,---,She always watches to see what she can do for the others of the group.
,Mist,S,,,,,2,1,,1,,---,---,Appears in Path of Radiance and Radiant Dawn.
,Titania,C,,,,,1,,,,,---,---,Hero from beyond Elyos and deputy commander of the Greil Mercenaries.
,Titania,B,,,,1,1,,,,,---,---,A lance-wielding combat veteran and former Crimean Royal Knight.
,Titania,A,,1,,1,1,,,,,---,---,She was a den mother to Ike and the other members of the group.
,Titania,S,,1,,1,2,,,,,---,---,Appears in Path of Radiance and Radiant Dawn.
,Shinon,C,,,,1,,,,,,---,---,Hero from beyond Elyos and an archer in the Greil Mercenaries.
,Shinon,B,,,,1,,,1,,,---,---,An expert marksman who does not miss his target.
,Shinon,A,,1,,1,,,1,,,---,---,"He can be cynical, but it's just a facade for how much he cares."
,Shinon,S,,1,,2,,,1,,,---,---,Appears in Path of Radiance and Radiant Dawn.
,Gatrie,C,,,,,,,1,,,---,---,Hero from beyond Elyos and member of the Greil Mercenaries.
,Gatrie,B,,1,,,,,1,,,---,---,"An amiable goof and sworn brother to Shinon, an older mercenary."
,Gatrie,A,,1,,1,,,1,,,---,---,He's a fool for women but never gets discouraged in the face of rejection.
,Gatrie,S,,1,,1,,,2,,,---,---,Appears in Path of Radiance and Radiant Dawn.
,Soren,C,,,,1,,,,,,---,---,Hero from beyond Elyos who joined the Greil Mercenaries as a mage.
,Soren,B,,,,1,,,,1,,---,---,"A trusted adviser due to his sound judgment, he excels at finding intel."
,Soren,A,,,1,1,,,,1,,---,---,"He is uncomfortable around most others, but he is very close to Ike."
,Soren,S,,,1,2,,,,1,,Wind Adept,"If unit initiates combat with Wind equipped, unit may attack twice. Trigger %=Dex. (Excludes Elwind and Excalibur.)",Appears in Path of Radiance and Radiant Dawn.
,Mia,C,,,,,1,,,,,---,---,Hero from beyond Elyos and member of the Greil Mercenaries.
,Mia,B,,,,1,1,,,,,---,---,A frank and lively young woman who doesn't sweat the details.
,Mia,A,,,,1,1,1,,,,---,---,She's always seeking opponents to hone her sword skills in battle.
,Mia,S,,,,1,2,1,,,,Shove,Use to push an adjacent ally with less Bld 1 space away.,Appears in Path of Radiance and Radiant Dawn.
,Ilyana,C,,,,,,,,1,,---,---,Hero from beyond Elyos who wields lightning magic.
,Ilyana,B,,,,,,1,,1,,---,---,Joined Ike when she found herself in a battle against her will.
,Ilyana,A,,,,1,,1,,1,,---,---,"She looks fragile, but she's a big eater and always seems hungry."
,Ilyana,S,,,,1,,1,,2,,---,---,Appears in Path of Radiance and Radiant Dawn.
,Lethe,C,2,,,,,,,,,---,---,Hero from beyond Elyos and a beast warrior from Gallia.
,Lethe,B,2,,,,1,,,,,---,---,A laguz shape-shifter who can transform into a massive cat.
,Lethe,A,2,,,1,1,,,,,---,---,"She dislikes the beorc, but she will obey royal orders to work with them."
,Lethe,S,5,,,1,1,,,,,---,---,Appears in Path of Radiance and Radiant Dawn.
,Ranulf,C,2,,,,,,,,,---,---,Hero from beyond Elyos and a beast warrior from Gallia.
,Ranulf,B,2,1,,,,,,,,---,---,An easygoing laguz shape-shifter who can become a massive cat.
,Ranulf,A,2,1,,,,,1,,,---,---,"Though he appears laid-back, he's utterly fearless in combat."
,Ranulf,S,5,1,,,,,1,,,---,---,Appears in Path of Radiance and Radiant Dawn.
,Greil,C,,1,,,,,,,,---,---,Hero from beyond Elyos who founded the Greil Mercenaries.
,Greil,B,,1,,,,,1,,,---,---,A well-trusted and top-notch mercenary with superb skill in battle.
,Greil,A,,1,,,,,1,,1,---,---,"He is Ike and Mist's father, and he sees all of the mercenaries as family."
,Greil,S,,2,,,,,1,,1,---,---,Appears in Path of Radiance.
Byleth,Edelgard,C,,1,,,,,,,,---,---,"Imperial princess of the Adrestian Empire, a land in another world."
World of the,Edelgard,B,,1,,,,,1,,,---,---,Leader of the Black Eagle House at the Garreg Mach Monastery.
Instructor,Edelgard,A,2,1,,,,,1,,,---,---,She is a noble woman who is determined to reform the world.
,Edelgard,S,2,2,,,,,1,,,Flickering Flower,"If unit initiates combat, freezes foe. Trigger % = total damage dealt.",Appears in Three Houses.
,Ferdinand,C,,,,,1,,,,,---,---,Hero from beyond Elyos and heir to House Aegir.
,Ferdinand,B,,1,,,1,,,,,---,---,A Black Eagle student who takes great pride in his noble status.
,Ferdinand,A,,1,,1,1,,,,,---,---,Edelgard's role as imperial princess brings out his competitive streak.
,Ferdinand,S,,1,,1,2,,,,,---,---,Appears in Three Houses.
,Bernadetta,C,,,,1,,,,,,---,---,Hero from beyond Elyos and the only daughter of House Varley.
,Bernadetta,B,,,,1,1,,,,,---,---,A Black Eagle student who is extremely afraid of strangers.
,Bernadetta,A,,1,,1,1,,,,,---,---,"A reclusive young woman, she hides in her room when not in class."
,Bernadetta,S,,1,,2,1,,,,,---,---,Appears in Three Houses.
,Dimitri,C,,1,,,,,,,,---,---,"Crown prince of the Holy Kingdom of Faerghus, a land in another world."
,Dimitri,B,,1,,1,,,,,,---,---,Leader of the Blue Lion House at Garreg Mach Monastery.
,Dimitri,A,2,1,,1,,,,,,---,---,"He is courteous and sincere, but he hides darkness deep in his heart."
,Dimitri,S,2,2,,1,,,,,,Paraselene,"Use to make an attack against an adjacent foe, then move 1 space away from that foe after combat.",Appears in Three Houses.
,Felix,C,,1,,,,,,,,---,---,Hero from beyond Elyos and heir to House Fraldarius.
,Felix,B,,1,,,1,,,,,---,---,A Blue Lion student who is Dimitri's childhood friend.
,Felix,A,,1,,1,1,,,,,---,---,He cares only about finding a worthy adversary for his sword skills.
,Felix,S,,2,,1,1,,,,,---,---,Appears in Three Houses.
,Ingrid,C,,,,,1,,,,,---,---,Hero from beyond Elyos and the only daughter of House Galatea.
,Ingrid,B,,,,,1,,,1,,---,---,A serious and level-headed Blue Lion student.
,Ingrid,A,,,,,1,1,,1,,---,---,She admires noble knights and dreams of becoming one.
,Ingrid,S,,,,,2,1,,1,,---,---,Appears in Three Houses.
,Claude,C,,,,1,,,,,,---,---,"Heir to House Riegan of the Leicester Alliance, found in another world."
,Claude,B,,,,1,1,,,,,---,---,Leader of the Golden Deer House at Garreg Mach Monastery.
,Claude,A,,,,1,1,1,,,,---,---,"Though laid-back and friendly, he is also a schemer to the core."
,Claude,S,,,,2,1,1,,,,Wind God,"If unit's HP=100%, grants range +1 with bows.",Appears in Three Houses.
,Raphael,C,1,,,,,,,,,---,---,Hero from beyond Elyos and the son of a Leicester Alliance merchant.
,Raphael,B,1,1,,,,,,,,---,---,A Golden Deer student with a big appetite and a burly physique.
,Raphael,A,1,1,,,,,1,,,---,---,What he lacks in book learning he makes up for in devotion to training.
,Raphael,S,2,1,,,,,1,,,---,---,Appears in Three Houses.
,Lysithea,C,,,1,,,,,,,---,---,Hero from beyond Elyos and the eldest daughter of House Ordelia.
,Lysithea,B,,,1,1,,,,,,---,---,A diligent Golden Deer student possessing great talent with magic.
,Lysithea,A,,,1,1,1,,,,,---,---,"She loves sweets, but hates ghosts and being treated like a child."
,Lysithea,S,,,2,1,1,,,,,---,---,Appears in Three Houses.
,Flayn,C,,,1,,,,,,,---,---,Hero from beyond Elyos and Seteth's younger sister.
,Flayn,B,,,1,,,,,1,,---,---,She lives at Garreg Mach Monastery under her brother's protection.
,Flayn,A,,,1,1,,,,1,,---,---,She is sheltered and very interested in all sorts of things in town.
,Flayn,S,,,2,1,,,,1,,---,---,Appears in Three Houses.
Corrin,Azura,C,,,,,1,,,,,---,---,Hero from beyond Elyos who was kidnapped and raised in Hoshido.
World of the,Azura,B,,,,1,1,,,,,---,---,"She has a mysterious, fragile aura and rarely reveals her emotions."
Crux of Fate,Azura,A,,,,1,1,1,,,,---,---,She is a songstress who uses both her dancing and lance as weapons.
,Azura,S,,,,1,2,1,,,,---,---,"Appears in Birthright, Conquest, and others."
,Ryoma,C,,,,,1,,,,,---,---,"The eldest prince of Hoshido, a country in another world."
,Ryoma,B,,1,,,1,,,,,---,---,The crown prince. He inherited the divine sword Raijinto.
,Ryoma,A,,1,,,1,1,,,,---,---,He is a samurai with the indomitable will to face any hardship.
,Ryoma,S,,1,,,2,1,,,,Bushido,"If unit's level is higher than foe's, grants Crit+10 during combat, and unit deals +2 damage and takes 2 less damage.","Appears in Birthright, Conquest, and others."
,Hinoka,C,,,,,1,,,,,---,---,"The eldest princess of Hoshido, a country in another world."
,Hinoka,B,,,,,1,,,1,,---,---,She charges fearlessly into battle astride a pegasus.
,Hinoka,A,2,,,,1,,,1,,---,---,She became a sky knight in hopes of recovering Corrin from Nohr.
,Hinoka,S,2,,,,2,,,1,,---,---,"Appears in Birthright, Conquest, and others."
,Takumi,C,,1,,,,,,,,---,---,"A prince of Hoshido, a country in another world."
,Takumi,B,,1,,1,,,,,,---,---,An expert archer who wields the divine bow Fujin Yumi.
,Takumi,A,2,1,,1,,,,,,---,---,He despises Nohr and has complex feelings toward Corrin.
,Takumi,S,2,2,,1,,,,,,---,---,"Appears in Birthright, Conquest, and others."
,Sakura,C,,,,,,1,,,,---,---,"Princess of Hoshido, a country in another world."
,Sakura,B,,,1,,,1,,,,---,---,Youngest of the Hoshidan royals. She is elegant and tenderhearted.
,Sakura,A,2,,1,,,1,,,,---,---,She is polite but shy and easily flustered.
,Sakura,S,2,,1,,,2,,,,---,---,"Appears in Birthright, Conquest, and others."
,Xander,C,,,,,,,1,,,---,---,"The eldest prince of Nohr, a country in another world."
,Xander,B,,,,,,1,1,,,---,---,The crown prince. He inherited the divine sword Siegfried.
,Xander,A,,1,,,,1,1,,,---,---,He is a chivalrous knight who can be strict as easily as he can be kind.
,Xander,S,,1,,,,1,2,,,Chivalry,"If unit initiates combat while foe's HP=100%, unit deals +2 damage and takes 2 less damage.","Appears in Birthright, Conquest, and others."
,Camilla,C,,,,,1,,,,,---,---,"The eldest princess of Nohr, a land in another world."
,Camilla,B,,1,,,1,,,,,---,---,"A beautiful, bewitching woman who rides a wyvern into battle."
,Camilla,A,,1,,,1,,1,,,---,---,She likes girls who are strong yet cute and dotes endlessly on Corrin.
,Camilla,S,,1,,,2,,1,,,---,---,"Appears in Birthright, Conquest, and others."
,Leo,C,,,1,,,,,,,---,---,"A prince of Nohr, a country in another world."
,Leo,B,,,1,,,,,1,,---,---,He is an elite dark mage who uses the divine tome Brynhildr.
,Leo,A,2,,1,,,,,1,,---,---,"He is a natural-born prodigy, but he can also be a bit absentminded."
,Leo,S,2,,2,,,,,1,,---,---,"Appears in Birthright, Conquest, and others."
,Elise,C,,,,,,1,,,,---,---,"Princess of Nohr, a country in another world."
,Elise,B,,,1,,,1,,,,---,---,The youngest of the Nohrian royals. She is innocent and cheerful.
,Elise,A,,,1,,1,1,,,,---,---,She loves all her siblings and very much admires Corrin.
,Elise,S,,,1,,1,2,,,,---,---,"Appears in Birthright, Conquest, and others."
,Jakob,C,2,,,,,,,,,---,---,Hero from beyond Elyos who served Corrin as a butler.
,Jakob,B,2,,,,,1,,,,---,---,"Quick-witted and versatile, he has a talent for both care and combat."
,Jakob,A,2,,,1,,1,,,,---,---,He swore absolute loyalty to Corrin and treats all others with disdain.
,Jakob,S,5,,,1,,1,,,,---,---,"Appears in Birthright, Conquest, and others."
Eirika,Seth,C,2,,,,,,,,,---,---,Hero from beyond Elyos who served the Renais royal family as a knight.
World of the,Seth,B,2,1,,,,,,,,---,---,A young general known by many as the Silver Knight.
Azure Twins,Seth,A,2,1,,,,,1,,,---,---,He protected and aided Eirika during an invasion by the Grado Empire.
,Seth,S,5,1,,,,,1,,,---,---,Appears in The Sacred Stones.
,Ross,C,2,,,,,,,,,---,---,Hero from beyond Elyos and the son of the warrior Garcia.
,Ross,B,2,1,,,,,,,,---,---,A fledgling warrior of Renais filled with youthful excitement and vigor.
,Ross,A,2,1,,,,1,,,,---,---,He devoted himself to training so that he could be more like his father.
,Ross,S,5,1,,,,1,,,,---,---,Appears in The Sacred Stones.
,Lute,C,,,1,,,,,,,---,---,Hero from beyond Elyos who has a prodigious talent for magic.
,Lute,B,,,1,,,1,,,,---,---,A confident mage who often asserts her superiority.
,Lute,A,,,1,,,1,,1,,---,---,Her eccentric mannerisms make it difficult to tell when she is joking.
,Lute,S,,,2,,,1,,1,,---,---,Appears in The Sacred Stones.
,Joshua,C,,,,,1,,,,,---,---,Hero from beyond Elyos who is an easygoing swordsman.
,Joshua,B,,,,1,1,,,,,---,---,He loves gambling and makes any important decisions with a coin flip.
,Joshua,A,2,,,1,1,,,,,---,---,He betrayed the Grado Empire based on a flipped coin.
,Joshua,S,2,,,1,2,,,,,---,---,Appears in The Sacred Stones.
,Tana,C,,,,,1,,,,,---,---,"The princess of Frelia on Magvel, a continent in another world."
,Tana,B,,,,,1,1,,,,---,---,"Boisterous despite her nobility, she is a lance-wielding pegasus knight."
,Tana,A,,1,,,1,1,,,,---,---,"She ran away from the castle to help Eirika, her close friend."
,Tana,S,,1,,,2,1,,,,---,---,Appears in The Sacred Stones.
,Amelia,C,2,,,,,,,,,---,---,Hero from beyond Elyos and trainee soldier from the Grado Empire.
,Amelia,B,2,,,,,1,,,,---,---,"While naive, she is also cheerful, honest, and incredibly dedicated."
,Amelia,A,2,1,,,,1,,,,---,---,"She fought Eirika and Ephraim, believing that they were villains."
,Amelia,S,5,1,,,,1,,,,---,---,Appears in The Sacred Stones.
,Innes,C,,,,,1,,,,,---,---,"The prince of Frelia on Magvel, a continent in another world."
,Innes,B,,,,,1,1,,,,---,---,He is both proud and wise. Known as an expert archer.
,Innes,A,,,,1,1,1,,,,---,---,"He can come off as aloof, but under that exterior, he is a good person."
,Innes,S,,,,1,2,1,,,,Sure Strike,"If unit initiates combat, attacks are guaranteed to hit. Trigger %=Dex",Appears in The Sacred Stones.
,Gerik,C,2,,,,,,,,,---,---,Hero from beyond Elyos who founded Gerik's Mercenaries.
,Gerik,B,2,1,,,,,,,,---,---,"A powerful and renowned veteran, he is known as the ""Desert Tiger."""
,Gerik,A,2,1,,1,,,,,,---,---,He is a compassionate man of honor who has earned the trust of his allies.
,Gerik,S,5,1,,1,,,,,,---,---,Appears in The Sacred Stones.
,Marisa,C,,,,,1,,,,,---,---,Hero from beyond Elyos and member of Gerik's Mercenaries.
,Marisa,B,,,,1,1,,,,,---,---,"A remarkable swordswoman known, and feared, as the Crimson Flash."
,Marisa,A,,,,1,1,1,,,,---,---,She has a taciturn demeanor and trusts Commander Gerik completely.
,Marisa,S,,,,1,2,1,,,,Lethality,"When landing a critical hit, instantly kills foe. Trigger %=30. (Excludes certain powerful foes.)",Appears in The Sacred Stones.
,L'Arachel,C,,,,,1,,,,,---,---,Hero from beyond Elyos who is a righteous defender of others.
,L'Arachel,B,,,,,1,1,,,,---,---,She traveled the length of Magvel defeating any monsters she found.
,L'Arachel,A,,,1,,1,1,,,,---,---,"As princess of Rausten, she fought alongside her two attendants."
,L'Arachel,S,,,1,,2,1,,,,---,---,Appears in The Sacred Stones.
Countless,Alfonse,S,2,2,,,,,1,,,Spur Attack,Grants Atk+2 to adjacent allies.,"Prince of Askr, a land in another world."
Worlds,,,,,,,,,,,,,,"A kind, earnest young member of the Order of Heroes that protects Askr."
,,,,,,,,,,,,,,He is dedicated to overcoming any challenge that obstructs victory.
,,,,,,,,,,,,,,Appears in Heroes.
,Sharena,S,2,,,,1,,2,,,Fortify Def,Grants Def+2 to adjacent allies for 1 turn at start of player phase.,"Princess of Askr, a land in another world."
,,,,,,,,,,,,,,A bright and energetic member of the Order of Heroes protecting Askr.
,,,,,,,,,,,,,,"Bubbly and amiable, she hopes to befriend heroes from other worlds."
,,,,,,,,,,,,,,Appears in Heroes.
,Anna,S,2,,,,2,,,1,,Spur Res,Grants Res+2 to adjacent allies.,"Warrior of Askr, a land in another world."
,,,,,,,,,,,,,,A skilled fighter and commander of the Order of Heroes protecting Askr.
,,,,,,,,,,,,,,"Typically caring and reliable, she has been known to lose her composure a little when it comes to money matters."
,,,,,,,,,,,,,,Appears in Heroes.
