<--------------------,Recruitment info in previous tab,,,,,,,,,"If not listed, character gains",,,,,"Base stats were all calculated. If anything looks odd, please contact me!",,,,,,,,,,,,Remember that you need to add class growths!,,,,I tested Alear and Dragon Child growths:,,,https://twitter.com/Aveyn_Knight/status/1616091790746222592,,,,,,,,,,,,,,,,Seems odd?,,,,,,,,,,,
,Sorry about any messed up symbolsÃ©,,,,,,,,,Proficiency from their initial class,,,,Internal,Enemy stats are for Normal mode (keep scrolling ------------------------------------> for Hard mode stats),,,,,,,,,,,,,,,,,,"Also Sight and Movement growth, but all 0",,,,,,,,,,,,,,,,,,,Hard mode stats,,,,,,,,,
Corrupted,,PID_M015_異形兵_アクスファイター,Axe Fighter,---,Male,---,---,,Default,---,---,,20,0,46,15,0,14,12,7,1,2,10,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.,46,19,1,14,12,9,4,2,10,4
Corrupted,,PID_M015_異形兵_ソードマスター,Swordmaster,---,Male,---,---,,Default,---,---,,3,0,38,13,3,22,25,8,7,12,8,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.,39,18,7,23,26,13,12,13,8,5
Corrupted,,PID_M015_異形兵_マージ,Mage,---,Female,---,---,,Default,---,---,,20,0,25,2,13,14,14,5,13,5,6,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.,25,5,15,14,14,7,17,5,6,4
Corrupted,,PID_M015_異形兵_アーチャー,Archer,---,Male,---,---,,Default,---,---,,20,0,33,13,0,20,13,5,4,6,7,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.,33,16,2,20,13,9,8,6,7,4
Corrupted,,PID_M015_異形兵_スナイパー,Sniper,---,Female,---,---,,Default,---,---,,3,0,39,17,1,26,15,8,5,8,8,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.,40,22,4,27,16,13,10,9,8,5
Corrupted,,PID_M015_異形兵_ウォーリアー,Warrior,---,Male,---,---,,Default,---,---,,3,0,51,19,1,15,16,8,4,4,12,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.,53,25,4,16,17,13,9,4,13,5
Corrupted,,PID_M015_異形兵_マスターモンク,Martial Master,---,Male,---,---,,Default,---,---,,3,0,38,12,12,13,13,8,13,9,9,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.,38,15,17,13,13,12,19,9,9,5
Corrupted,,PID_M015_異形兵_ウォーリアー_増援,Warrior,---,Male,---,---,,Default,---,---,,3,0,52,19,1,15,16,11,8,4,12,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,(Movement -1),(Hit/Avoid -10),---,---,---,---,A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.,63,30,4,21,21,23,17,10,13,5
Corrupted,,PID_M015_異形兵_アクスファイター_増援フラグ,Axe Fighter,---,Male,---,---,,Default,---,---,,20,0,46,15,0,14,12,7,1,2,10,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.,46,19,1,14,12,9,4,2,10,4
Corrupted,,PID_M015_異形兵_マージ_増援フラグ,Mage,---,Female,---,---,,Default,---,---,,20,0,25,2,13,14,14,5,13,5,6,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.,25,5,15,14,14,7,17,5,6,4
Corrupted,,PID_M015_異形兵_セアダス周辺_アクスファイター,Axe Fighter,---,Male,---,---,,Default,---,---,,18,0,44,8,0,3,5,6,1,2,10,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.,44,9,1,3,5,9,4,1,10,4
Corrupted,,PID_M015_異形兵_セアダス周辺_ランスファイター,Lance Fighter,---,Male,---,---,,Default,---,---,,18,0,37,8,5,18,13,8,5,5,7,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,A corpse raised by the Fell Dragon's powers. It has no will of its own and exists only to follow orders.,37,9,7,18,13,12,8,5,7,4
???,,PID_M015_カムイ,Emblem,---,Female,---,---,,Default,---,---,,1,0,23,7,4,7,8,5,4,4,5,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,An unidentified enemy. An evil aura radiates from this person.,23,7,4,7,8,5,4,4,5,5
Mauvier,Chapter 16,PID_M016_モーヴ,Royal Knight,---,Male,---,---,,Default,Staff,---,,6,0,46,16,20,21,21,15,15,10,11,6,0,,85,55,60,50,45,60,55,20,20,,0,0,0,0,0,0,0,,"Contemplative, (Stuck), (Foe with Death Convo)",---,Stalwart,"Darting Stance, Veteran+",---,---,"One of the Four Hounds. A rugged, honest man who's loyal to a fault.",46,20,24,21,19,20,19,10,11,6
Marni,,PID_M016_マロン,General,---,Female,---,---,,Default,Axe,---,,6,0,50,21,11,9,9,26,5,10,14,4,0,,90,60,25,10,20,65,35,30,15,,0,0,0,0,0,0,0,,"(Stuck), (Foe with Death Convo)",---,Stalwart,"Steady Stance, Veteran+",---,---,One of the Four Hounds. A somewhat naive armored knight.,50,25,12,9,7,30,9,10,14,4
Corrupted Wyrm,,PID_M016_イルシオン兵_異形竜,Corrupted Wyrm,---,???,---,---,,Default,---,---,,26,0,50,0,15,9,2,18,18,3,17,2,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -10),---,Spirit Strike,---,---,A giant dragon raised by the Fell Dragon. Armored with tough scales and armed with powerful breath.,51,0,20,10,2,25,25,4,17,2
Ruffian,,PID_M016_蛮族,Barbarian,---,Male,---,---,,Default,---,---,,20,0,42,15,0,8,12,4,1,2,12,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -10),---,---,---,---,One of a band of ruffians who have chosen destruction and pillaging as their livelihood.,44,20,1,9,11,8,5,2,13,4
Elusian Soldier,,PID_M016_イルシオン兵_ブレイブヒーロー,Hero,---,Female,---,---,,Default,---,---,,3,0,39,15,0,17,21,10,5,9,10,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -10),---,---,---,---,An ordinary soldier in the Elusian army.,41,20,3,18,20,15,9,10,10,5
Elusian Soldier,,PID_M016_イルシオン兵_ランスファイター,Lance Fighter,---,Male,---,---,,Default,---,---,,20,0,37,13,4,18,15,8,4,4,7,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -10),---,---,---,---,An ordinary soldier in the Elusian army.,39,17,8,19,15,13,9,5,7,4
Elusian Soldier,,PID_M016_イルシオン兵_ロイヤルナイト,Royal Knight,---,Female,---,---,,Default,---,---,,3,0,37,14,10,21,20,9,10,10,8,6,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -10),---,---,---,---,An ordinary soldier in the Elusian army.,39,18,15,22,19,13,15,11,8,6
Elusian Soldier,,PID_M016_イルシオン兵_アクスファイター,Axe Fighter,---,Female,---,---,,Default,---,---,,20,0,43,14,0,10,12,5,1,2,9,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -10),---,---,---,---,An ordinary soldier in the Elusian army.,45,18,1,10,11,8,4,2,10,4
Elusian Soldier,,PID_M016_イルシオン兵_ボウナイト,Bow Knight,---,Female,---,---,,Default,---,---,,3,0,36,12,3,21,18,6,8,8,8,6,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -10),---,---,---,---,An ordinary soldier in the Elusian army.,38,16,6,22,18,10,12,9,8,6
Elusian Soldier,,PID_M016_イルシオン兵_ボウナイト_魔攻,Bow Knight,---,Female,---,---,,Default,---,---,,2,0,34,11,8,20,17,6,9,8,8,6,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -10),---,---,---,---,An ordinary soldier in the Elusian army.,35,15,11,21,16,10,14,9,8,6
Elusian Soldier,,PID_M016_イルシオン兵_グレートナイト,Great Knight,---,Female,---,---,,Default,---,---,,4,0,42,16,2,19,13,21,5,9,12,6,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -10),---,---,---,---,An ordinary soldier in the Elusian army.,44,20,4,21,12,27,9,9,12,6
Elusian Soldier,,PID_M016_イルシオン兵_アクスナイト,Axe Cavalier,---,Female,---,---,,Default,---,---,,20,0,37,12,1,17,16,8,5,6,8,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -10),---,---,---,---,An ordinary soldier in the Elusian army.,39,16,4,18,16,13,10,7,9,5
Elusian Soldier,,PID_M016_イルシオン兵_パラディン,Paladin,---,Male,---,---,,Default,---,---,,3,0,41,16,2,21,18,11,8,8,10,6,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -10),---,---,---,---,An ordinary soldier in the Elusian army.,43,20,5,22,18,16,12,9,10,6
Elusian Soldier,,PID_M016_イルシオン兵_マージナイト,Mage Knight,---,Male,---,---,,Default,---,---,,2,0,29,9,12,14,18,6,13,5,8,6,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -10),---,---,---,---,An ordinary soldier in the Elusian army.,30,13,17,15,17,11,18,6,8,6
Elusian Soldier,,PID_M016_イルシオン兵_マスターモンク,Martial Master,---,Male,---,---,,Default,---,---,,3,0,36,11,11,12,13,8,12,9,9,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -10),---,---,---,---,An ordinary soldier in the Elusian army.,37,15,16,13,13,12,18,9,9,5
Elusian Soldier,,PID_M016_イルシオン兵_ソードペガサス,Sword Flier,---,Female,---,---,,Default,---,---,,20,0,33,10,6,17,20,6,10,8,6,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -10),---,---,---,---,An ordinary soldier in the Elusian army.,35,13,9,18,19,10,14,8,6,5
Elusian Soldier,,PID_M016_イルシオン兵_ソードペガサス_魔攻,Sword Flier,---,Female,---,---,,Default,---,---,,20,0,31,7,11,17,20,6,12,8,6,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -10),---,---,---,---,An ordinary soldier in the Elusian army.,33,10,14,18,17,10,16,8,6,5
Elusian Soldier,,PID_M016_イルシオン兵_グリフォンナイト,Griffin Knight,---,Male,---,---,,Default,---,---,,3,0,36,13,9,22,25,8,14,11,8,6,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -10),---,---,---,---,An ordinary soldier in the Elusian army.,38,17,13,23,24,12,18,12,8,6
Elusian Soldier,,PID_M016_イルシオン兵_シーフ,Thief,---,Male,---,---,,Default,---,---,,20,0,32,11,1,21,21,10,4,7,6,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -10),---,---,---,---,An ordinary soldier in the Elusian army.,34,16,4,23,20,14,8,7,7,5
Solmic Villager,,PID_M016_村人おばさん,#N/A,---,Female,---,---,,Default,---,---,,35,0,1,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,---,---,---,---,---,A citizen of the Queendom of Solm.,1,0,0,0,0,0,0,0,0,1
Ike,Paralogue 5,PID_S005_アイク,Emblem,---,Male,---,---,,Default,---,---,,30,0,51,15,1,19,14,14,2,12,15,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,"Demolish, Resolve+, Wrath, Anchor, (Stuck)",(Hit/Avoid -20),---,Unbreakable,Great Aether,---,Known as the Emblem of Radiance. A famous mercenary leader with unparalleled skill in battle.,51,27,4,19,14,25,10,12,15,5
Fabrication,,PID_S005_幻影兵_ハルバーディア,Halberdier,---,Male,---,---,,Default,---,---,,5,0,42,13,5,22,12,10,6,7,9,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,45,18,9,24,14,18,11,8,9,5
Fabrication,,PID_S005_幻影兵_ジェネラル,General,---,Male,---,---,,Default,---,---,,5,0,48,14,1,18,7,18,2,7,15,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,51,19,2,20,8,30,7,8,16,4
Fabrication,,PID_S005_幻影兵_ブレイブヒーロー,Hero,---,Male,---,---,,Default,---,---,,5,0,41,11,0,18,17,9,5,10,10,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,44,17,3,20,19,17,10,11,10,5
Fabrication,,PID_S005_幻影兵_ソードマスター,Swordmaster,---,Male,---,---,,Default,---,---,,5,0,37,12,3,21,22,8,7,12,8,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,39,18,7,23,24,13,12,13,8,5
Fabrication,,PID_S005_幻影兵_ロイヤルナイト,Royal Knight,---,Female,---,---,,Default,---,---,,4,0,38,12,11,21,15,9,11,11,8,6,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,41,14,16,23,17,14,16,12,8,6
Fabrication,,PID_S005_幻影兵_パラディン,Paladin,---,Female,---,---,,Default,---,---,,4,0,42,14,2,21,15,9,8,9,10,6,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,45,16,5,23,16,17,13,10,10,6
Fabrication,,PID_S005_幻影兵_グレートナイト,Great Knight,---,Male,---,---,,Default,---,---,,5,0,43,14,2,20,9,16,5,9,12,6,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,46,16,4,22,10,28,10,10,13,6
Fabrication,,PID_S005_幻影兵_ウルフナイト,Wolf Knight,---,Female,---,---,,Default,---,---,,4,0,38,13,5,19,16,8,10,11,8,6,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,41,14,9,21,18,13,15,12,8,6
Fabrication,,PID_S005_幻影兵_ウォーリアー,Warrior,---,Female,---,---,,Default,---,---,,5,0,50,16,1,7,16,6,4,4,12,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,53,20,4,8,17,11,9,4,13,5
Fabrication,,PID_S005_幻影兵_ベルセルク,Berserker,---,Male,---,---,,Default,---,---,,4,0,51,18,0,0,14,5,2,4,14,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -10),---,---,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,54,20,2,1,15,10,5,4,15,5
Fabrication,,PID_S005_幻影兵_ボウナイト,Bow Knight,---,Female,---,---,,Default,---,---,,4,0,37,13,3,21,15,6,8,4,8,6,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,40,17,6,23,16,12,14,5,8,6
Fabrication,,PID_S005_幻影兵_スナイパー,Sniper,---,Female,---,---,,Default,---,---,,4,0,37,15,1,18,15,8,5,3,8,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,40,16,4,20,16,14,11,4,8,5
Fabrication,,PID_S005_幻影兵_マスターモンク,Martial Master,---,Male,---,---,,Default,---,---,,5,0,37,12,9,18,17,8,13,9,9,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,39,16,18,19,18,16,20,10,9,5
Fabrication,,PID_S005_幻影兵_セイジ,Sage,---,Male,---,---,,Default,---,---,,4,0,28,3,13,20,15,5,11,9,7,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,29,7,23,21,16,10,23,10,7,5
Fabrication,"""Ilyana""",PID_S005_幻影兵_イレース,Sage,---,Female,---,---,,Default,---,---,,4,0,28,3,13,20,15,5,11,9,7,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,29,7,23,21,16,10,23,10,7,5
Veyle,Chapter 17,PID_M017_ヴェイル,Fell Child,---,Female,---,---,,Default,Tome,Dagger,,30,0,47,14,18,20,16,13,22,16,6,5,0,,40,25,55,35,30,25,35,20,0,,0,0,0,0,0,0,0,,"Fell Protection, (Equip Obscurité), (Equip Misericorde), (Stuck), (Foe with Death Convo)",(Hit/Avoid -20),Stalwart,Veteran+,Lodestar Rush,---,Daughter of the Fell Dragon. She is a brutal foe who seethes with oppressive malice.,50,17,20,20,20,22,31,16,6,5
Zephia,,PID_M017_セピア,Melusine,---,Female,---,---,,Default,Sword,---,,29,0,51,18,18,19,20,14,21,13,9,6,0,,75,45,45,45,60,40,45,25,10,,0,0,0,0,0,0,0,,"(Stuck), (Foe with Death Convo)",(Hit/Avoid -20),Stalwart,Veteran+,---,---,The leader of the Four Hounds. She is descended from mage dragons and has lived thousands of years.,58,20,21,21,28,24,28,13,9,6
Griss,,PID_M017_グリ,Sage,---,Male,---,---,,Default,Staff,---,,8,0,48,15,18,20,17,12,22,16,8,5,0,,70,40,60,25,30,45,60,30,10,,0,0,0,0,0,0,0,,"(Stuck), (Foe with Death Convo)",(Hit/Avoid -20),---,Unbreakable,---,---,Fearsome member of the Four Hounds. A dangerously unstable and violent user of powerful magic.,43*,20,30,20,21,20*,35,16,8,5
Mauvier,,PID_M017_モーヴ,Royal Knight,---,Male,---,---,,Default,Staff,---,,8,0,42,16,13,22,20,15,14,11,11,6,0,,85,55,60,50,45,60,55,20,20,,0,0,0,0,0,0,0,,"Contemplative, (Stuck), (Foe with Death Convo)",(Hit/Avoid -20),Stalwart,Veteran+,---,---,"One of the Four Hounds. A rugged, honest man who's loyal to a fault.",55,23,28,22,21,24,24,11,11,6
Marni,,PID_M017_マロン,General,---,Female,---,---,,Default,Axe,---,,8,0,46,20,8,9,8,18,7,10,14,4,0,,90,60,25,10,20,65,35,30,15,,0,0,0,0,0,0,0,,"(Stuck), (Foe with Death Convo)",(Hit/Avoid -20),Stalwart,Veteran+,---,---,One of the Four Hounds. A somewhat naive armored knight.,51,25,8,10,7,31,10,10,14,4
Corrupted Hyacinth,,PID_M017_異形兵_ハイアシンス,Martial Master,---,Male,---,---,,Default,"Staff, Arts",---,,8,0,49,12,9,23,20,10,12,16,10,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,"(Foe with Death Convo), (Stuck)",(Hit/Avoid -20),Stalwart,Veteran+,---,---,"King Hyacinth, killed by the Fell Dragon. Turned into a powerful Corrupted by Veyle.",57,16,14,25,21,22,23,16,10,5
Elusian Soldier,,PID_M017_イルシオン兵_ハルバーディア,Halberdier,---,Male,---,---,,Default,---,---,,4,0,34,13,4,16,13,11,5,6,8,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,An ordinary soldier in the Elusian army.,42,21,8,22,17,16,10,7,9,5
Elusian Soldier,,PID_M017_イルシオン兵_ジェネラル,General,---,Male,---,---,,Default,---,---,,4,0,39,15,1,16,6,16,2,6,14,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,An ordinary soldier in the Elusian army.,48,23,2,18,7,28,6,7,15,4
Elusian Soldier,,PID_M017_イルシオン兵_パラディン,Paladin,---,Male,---,---,,Default,---,---,,4,0,36,12,2,20,14,10,7,8,9,6,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,An ordinary soldier in the Elusian army.,43,20,5,22,18,16,12,9,10,6
Elusian Soldier,,PID_M017_イルシオン兵_ロイヤルナイト,Royal Knight,---,Female,---,---,,Default,---,---,,4,0,36,10,10,19,15,8,10,10,8,6,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,An ordinary soldier in the Elusian army.,39,18,15,22,19,13,15,11,8,6
Elusian Soldier,,PID_M017_イルシオン兵_マージ,Mage,---,Female,---,---,,Default,---,---,,4,0,17,1,6,5,5,1,6,2,4,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,An ordinary soldier in the Elusian army.,18,1,8,6,6,1,8,2,4,4
Elusian Soldier,,PID_M017_イルシオン兵_グリフォンナイト,Griffin Knight,---,Male,---,---,,Default,---,---,,4,0,35,11,9,18,16,7,13,11,7,6,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,An ordinary soldier in the Elusian army.,38,17,13,23,24,12,18,12,8,6
Elusian Soldier,,PID_M017_イルシオン兵_ベルセルク,Berserker,---,Male,---,---,,Default,---,---,,4,0,44,14,0,11,12,5,2,4,13,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,An ordinary soldier in the Elusian army.,52,25,2,12,14,9,5,4,14,5
Elusian Soldier,,PID_M017_イルシオン兵_セイジ,Sage,---,Female,---,---,,Default,---,---,,4,0,26,3,14,15,13,5,13,8,7,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,An ordinary soldier in the Elusian army.,28,6,22,17,15,9,21,9,7,5
Elusian Soldier,,PID_M017_イルシオン兵_ハイプリースト,High Priest,---,Female,---,---,,Default,---,---,,4,0,30,5,12,14,13,5,14,11,6,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,An ordinary soldier in the Elusian army.,32,8,20,16,15,9,23,13,7,5
Elusian Soldier,,PID_M017_イルシオン兵_ハルバーディア_増援,Halberdier,---,Male,---,---,,Default,---,---,,4,0,35,11,4,19,15,11,5,6,8,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,An ordinary soldier in the Elusian army.,42,21,8,22,17,16,10,7,9,5
Elusian Soldier,,PID_M017_イルシオン兵_スナイパー,Sniper,---,Female,---,---,,Default,---,---,,4,0,35,10,1,17,13,7,4,7,7,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,An ordinary soldier in the Elusian army.,38,20,4,25,15,12,9,8,8,5
Corrupted Wyrm,,PID_M017_イルシオン兵_異形竜,Corrupted Wyrm,---,???,---,---,,Default,---,---,,28,0,49,0,12,8,2,11,13,3,16,2,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -20),---,---,---,---,A giant dragon raised by the Fell Dragon. Armored with tough scales and armed with powerful breath.,52,0,21,10,3,25,25,4,18,2
Byleth,Paralogue 6,PID_S006_ベレト,Emblem,---,Male,---,---,,Default,---,---,,32,0,43,17,15,22,24,12,16,22,10,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,"Mentorship, Divine Pulse+, Instruct, (Stuck), Anchor",(Hit/Avoid -10),---,Unbreakable,Goddess Dance,---,Known as the Emblem of the Academy. A mercenary who became a teacher.,45,23,22,25,25,19,24,26,11,5
Fabrication,,PID_S006_幻影兵_ジェネラル,General,---,Male,---,---,,Default,---,---,,6,0,46,18,1,17,8,22,2,3,15,4,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -10),---,---,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,47,22,2,17,7,27,6,7,15,4
Fabrication,,PID_S006_幻影兵_セイジ,Sage,---,Female,---,---,,Default,---,---,,6,0,27,3,17,16,16,5,15,4,7,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -10),---,---,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,28,6,21,17,15,9,20,9,7,5
Fabrication,,PID_S006_幻影兵_ベルセルク,Berserker,---,Female,---,---,,Default,---,---,,8,0,52,21,0,12,15,5,2,0,14,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -10),---,---,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,53,26,2,12,14,9,5,4,14,5
Fabrication,,PID_S006_幻影兵_スナイパー,Sniper,---,Female,---,---,,Default,---,---,,6,0,36,16,1,24,16,8,5,4,8,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -10),---,---,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,37,19,4,24,15,12,9,8,8,5
Fabrication,,PID_S006_幻影兵_ソードマスター,Swordmaster,---,Male,---,---,,Default,---,---,,8,0,37,13,3,21,26,8,7,8,8,5,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,---,(Hit/Avoid -10),---,---,---,---,A soulless soldier created by secret techniques. It has no will of its own and only follows its master's orders.,38,17,6,22,25,12,11,12,8,5
